Date,Count
27-Aug-16,4
27-Aug-16,49
27-Aug-16,4
27-Aug-16,1
27-Aug-16,3
26-Aug-16,8
26-Aug-16,3
26-Aug-16,73
26-Aug-16,4
26-Aug-16,527
26-Aug-16,3
26-Aug-16,1
26-Aug-16,248
26-Aug-16,3
26-Aug-16,4
26-Aug-16,53
26-Aug-16,15
26-Aug-16,1
26-Aug-16,1
26-Aug-16,7
26-Aug-16,1079
26-Aug-16,8
26-Aug-16,4
26-Aug-16,32
26-Aug-16,21
26-Aug-16,67
26-Aug-16,2
26-Aug-16,1
26-Aug-16,1
26-Aug-16,1
26-Aug-16,171
26-Aug-16,1
26-Aug-16,1
26-Aug-16,32
26-Aug-16,6
26-Aug-16,1
26-Aug-16,23
26-Aug-16,1
26-Aug-16,1
26-Aug-16,41
26-Aug-16,1
26-Aug-16,7
26-Aug-16,1
26-Aug-16,3
26-Aug-16,15
26-Aug-16,25
26-Aug-16,64
26-Aug-16,2
26-Aug-16,2
26-Aug-16,2
26-Aug-16,41
26-Aug-16,3
26-Aug-16,288
26-Aug-16,83
26-Aug-16,75
26-Aug-16,55
26-Aug-16,870
26-Aug-16,9
26-Aug-16,34
26-Aug-16,27
26-Aug-16,7
26-Aug-16,12
26-Aug-16,2
26-Aug-16,2280
26-Aug-16,4
26-Aug-16,243
26-Aug-16,4
26-Aug-16,2
26-Aug-16,3
26-Aug-16,10
26-Aug-16,1
26-Aug-16,138
26-Aug-16,63
26-Aug-16,6
26-Aug-16,3
26-Aug-16,340
26-Aug-16,560
26-Aug-16,5
26-Aug-16,2
26-Aug-16,23
26-Aug-16,30
26-Aug-16,12
26-Aug-16,4
26-Aug-16,21
26-Aug-16,26
26-Aug-16,10
26-Aug-16,170
26-Aug-16,5
26-Aug-16,212
26-Aug-16,122
26-Aug-16,1
26-Aug-16,2
26-Aug-16,13
26-Aug-16,47
26-Aug-16,6
26-Aug-16,1
26-Aug-16,44
26-Aug-16,1
26-Aug-16,33
25-Aug-16,4
25-Aug-16,86
25-Aug-16,42
25-Aug-16,32
25-Aug-16,2
